Date;Close;Open;Daily_high;Daily_low
01.11.24;4.877,75;4.829,48;4.889,49;4.829,48
31.10.24;4.827,63;4.866,03;4.866,03;4.805,23
30.10.24;4.885,75;4.931,32;4.931,32;4.866,59
29.10.24;4.950,02;4.978,73;4.999,72;4.948,84
28.10.24;4.969,83;4.962,16;4.982,74;4.932,61
25.10.24;4.943,09;4.940,35;4.953,34;4.915,57
24.10.24;4.935,45;4.929,02;4.970,48;4.929,02
23.10.24;4.922,55;4.924,40;4.948,38;4.906,28
22.10.24;4.939,31;4.941,04;4.965,75;4.910,32
21.10.24;4.941,22;4.977,90;4.989,32;4.938,10
18.10.24;4.986,27;4.950,05;4.986,27;4.944,13
17.10.24;4.947,30;4.913,99;4.973,79;4.913,99
16.10.24;4.908,71;4.918,44;4.926,08;4.898,95
15.10.24;4.946,73;5.045,63;5.053,23;4.946,73
14.10.24;5.041,01;5.007,27;5.044,74;4.999,18
11.10.24;5.003,92;4.970,64;5.005,83;4.953,82
10.10.24;4.970,34;4.980,12;4.986,70;4.950,16
09.10.24;4.982,57;4.948,79;4.984,79;4.930,13
08.10.24;4.949,00;4.953,91;4.955,96;4.911,83
07.10.24;4.969,71;4.959,24;4.976,67;4.930,79
04.10.24;4.954,94;4.920,20;4.976,02;4.911,36
03.10.24;4.921,33;4.959,20;4.959,20;4.907,60
02.10.24;4.963,29;4.961,73;4.983,22;4.931,56
01.10.24;4.954,15;5.004,37;5.016,88;4.933,39
30.09.24;5.000,45;5.060,76;5.060,76;5.000,45
27.09.24;5.067,45;5.028,35;5.071,41;5.028,35
26.09.24;5.032,59;4.956,34;5.035,44;4.956,34
25.09.24;4.916,89;4.928,15;4.933,37;4.905,33
24.09.24;4.940,72;4.907,58;4.953,69;4.907,58
23.09.24;4.885,57;4.875,62;4.893,98;4.854,93
20.09.24;4.871,54;4.929,15;4.930,22;4.868,80
19.09.24;4.943,38;4.862,41;4.943,38;4.862,41
18.09.24;4.835,30;4.861,52;4.864,60;4.831,09
17.09.24;4.860,78;4.832,82;4.879,61;4.832,82
16.09.24;4.827,63;4.835,16;4.852,71;4.820,11
13.09.24;4.843,99;4.817,74;4.853,89;4.817,74
12.09.24;4.814,08;4.777,77;4.836,64;4.777,77
11.09.24;4.763,58;4.752,58;4.796,49;4.735,95
10.09.24;4.747,20;4.779,55;4.803,37;4.736,89
09.09.24;4.778,66;4.745,21;4.797,75;4.745,21
06.09.24;4.738,06;4.806,59;4.829,28;4.732,86
05.09.24;4.815,15;4.840,70;4.854,33;4.814,77
04.09.24;4.848,18;4.889,17;4.889,17;4.838,83
03.09.24;4.912,52;4.977,97;4.986,74;4.906,98
02.09.24;4.973,07;4.955,87;4.973,39;4.924,18
30.08.24;4.957,98;4.959,03;4.980,86;4.957,96
29.08.24;4.966,27;4.915,49;4.966,27;4.913,49
28.08.24;4.913,03;4.904,76;4.932,76;4.904,76
27.08.24;4.898,78;4.897,27;4.916,68;4.892,51
26.08.24;4.896,69;4.907,04;4.911,02;4.892,19
23.08.24;4.909,20;4.890,34;4.918,85;4.887,70
22.08.24;4.885,00;4.885,74;4.911,43;4.883,98
21.08.24;4.885,28;4.856,23;4.889,72;4.856,23
20.08.24;4.857,58;4.878,22;4.897,43;4.855,90
19.08.24;4.871,41;4.838,02;4.879,30;4.835,58
16.08.24;4.840,52;4.813,72;4.850,74;4.813,72
15.08.24;4.807,77;4.736,84;4.809,88;4.727,63
14.08.24;4.727,60;4.710,18;4.728,68;4.706,76
13.08.24;4.694,92;4.680,21;4.697,96;4.659,23
12.08.24;4.671,88;4.686,85;4.699,91;4.658,86
