Datum;Schluss;Eröffnung;Tageshoch;Tagestief
01.11.24;5.728,80;5.723,22;5.772,52;5.723,22
31.10.24;5.705,45;5.775,34;5.775,34;5.702,86
30.10.24;5.813,67;5.832,65;5.850,94;5.811,28
29.10.24;5.832,92;5.819,68;5.847,19;5.802,17
28.10.24;5.823,52;5.833,93;5.842,92;5.823,08
25.10.24;5.808,12;5.826,75;5.862,82;5.799,98
24.10.24;5.809,86;5.817,80;5.817,80;5.784,92
23.10.24;5.797,42;5.834,50;5.834,85;5.762,41
22.10.24;5.851,20;5.832,70;5.863,04;5.821,17
21.10.24;5.853,98;5.857,82;5.866,92;5.824,79
18.10.24;5.864,67;5.859,43;5.872,17;5.846,11
17.10.24;5.841,47;5.875,62;5.878,46;5.840,25
16.10.24;5.842,47;5.816,58;5.846,52;5.808,34
15.10.24;5.815,26;5.866,74;5.870,36;5.804,48
14.10.24;5.859,85;5.829,81;5.871,41;5.829,57
11.10.24;5.815,03;5.775,09;5.822,13;5.775,09
10.10.24;5.780,05;5.778,36;5.795,03;5.764,76
09.10.24;5.792,04;5.751,80;5.796,80;5.745,02
08.10.24;5.751,13;5.719,14;5.757,60;5.714,56
07.10.24;5.695,94;5.737,80;5.739,34;5.686,85
04.10.24;5.751,07;5.737,48;5.753,21;5.702,83
03.10.24;5.699,94;5.698,19;5.718,78;5.677,37
02.10.24;5.709,54;5.698,14;5.719,63;5.674,00
01.10.24;5.708,75;5.757,73;5.757,73;5.681,28
30.09.24;5.762,48;5.726,52;5.765,14;5.703,53
27.09.24;5.738,17;5.755,36;5.763,78;5.727,34
26.09.24;5.745,37;5.762,22;5.767,37;5.721,01
25.09.24;5.722,26;5.733,65;5.741,03;5.712,06
24.09.24;5.732,93;5.727,66;5.735,32;5.698,99
23.09.24;5.718,57;5.711,90;5.725,36;5.704,22
20.09.24;5.702,55;5.709,64;5.715,14;5.674,49
19.09.24;5.713,64;5.702,63;5.733,57;5.686,42
18.09.24;5.618,26;5.641,68;5.689,75;5.615,08
17.09.24;5.634,58;5.655,51;5.670,81;5.614,05
16.09.24;5.633,09;5.615,21;5.636,05;5.604,53
13.09.24;5.626,02;5.603,34;5.636,27;5.601,65
12.09.24;5.595,76;5.557,48;5.600,71;5.535,50
11.09.24;5.554,13;5.496,42;5.560,41;5.406,96
10.09.24;5.495,52;5.490,51;5.497,91;5.441,72
09.09.24;5.471,05;5.442,07;5.484,20;5.434,49
06.09.24;5.408,42;5.507,33;5.522,47;5.402,62
05.09.24;5.503,41;5.520,08;5.546,30;5.480,54
04.09.24;5.520,07;5.506,68;5.552,99;5.503,66
03.09.24;5.528,93;5.623,89;5.623,89;5.504,33
30.08.24;5.648,40;5.612,74;5.651,37;5.581,79
29.08.24;5.591,96;5.607,30;5.646,95;5.583,71
28.08.24;5.592,18;5.624,51;5.627,03;5.560,95
27.08.24;5.625,80;5.602,89;5.631,18;5.593,48
26.08.24;5.616,84;5.639,66;5.651,62;5.602,34
23.08.24;5.634,61;5.602,49;5.641,82;5.585,16
22.08.24;5.570,64;5.637,77;5.643,22;5.560,95
21.08.24;5.620,85;5.603,09;5.632,68;5.591,57
20.08.24;5.597,12;5.602,88;5.620,51;5.585,50
19.08.24;5.608,25;5.557,23;5.608,30;5.550,74
16.08.24;5.554,25;5.530,50;5.561,98;5.525,17
15.08.24;5.543,22;5.501,13;5.546,23;5.501,13
14.08.24;5.455,21;5.442,36;5.463,22;5.415,91
13.08.24;5.434,43;5.376,98;5.436,50;5.376,98
12.08.24;5.344,39;5.351,88;5.371,20;5.324,37
09.08.24;5.344,16;5.314,66;5.358,67;5.300,84
08.08.24;5.319,31;5.252,57;5.328,03;5.233,85
07.08.24;5.199,50;5.293,13;5.330,64;5.195,54
06.08.24;5.240,03;5.206,42;5.312,34;5.193,56
05.08.24;5.186,33;5.151,14;5.250,89;5.119,26
02.08.24;5.346,56;5.376,63;5.383,89;5.302,03
01.08.24;5.446,68;5.537,84;5.566,16;5.410,42
31.07.24;5.522,30;5.505,59;5.551,51;5.493,75
30.07.24;5.436,44;5.478,73;5.489,46;5.401,70
29.07.24;5.463,54;5.476,55;5.487,74;5.444,44
26.07.24;5.459,10;5.433,67;5.488,32;5.430,70
25.07.24;5.399,22;5.428,70;5.491,59;5.390,95
24.07.24;5.427,13;5.505,84;5.508,04;5.419,98
23.07.24;5.555,74;5.565,30;5.585,34;5.550,90
22.07.24;5.564,41;5.544,54;5.570,36;5.529,04
19.07.24;5.505,00;5.543,37;5.557,50;5.497,04
18.07.24;5.544,59;5.608,56;5.614,05;5.522,81
17.07.24;5.588,27;5.610,07;5.622,49;5.584,81
16.07.24;5.667,20;5.644,09;5.669,67;5.639,02
15.07.24;5.631,22;5.638,16;5.666,94;5.614,75
12.07.24;5.615,35;5.590,76;5.655,56;5.590,44
11.07.24;5.584,54;5.635,21;5.642,45;5.576,53
10.07.24;5.633,91;5.591,26;5.635,39;5.586,44
09.07.24;5.576,98;5.584,24;5.590,75;5.574,57
08.07.24;5.572,85;5.572,75;5.583,11;5.562,51
05.07.24;5.567,19;5.537,91;5.570,33;5.531,63
03.07.24;5.537,02;5.507,44;5.539,27;5.507,42
02.07.24;5.509,01;5.461,84;5.509,69;5.458,43
01.07.24;5.475,09;5.471,08;5.479,55;5.446,53
28.06.24;5.460,48;5.488,48;5.523,64;5.451,12
27.06.24;5.482,87;5.473,59;5.490,81;5.467,54
26.06.24;5.477,90;5.460,71;5.483,14;5.451,87
25.06.24;5.469,30;5.460,73;5.472,88;5.446,56
24.06.24;5.447,87;5.459,58;5.490,66;5.447,59
21.06.24;5.464,62;5.466,77;5.478,31;5.452,03
20.06.24;5.473,17;5.499,99;5.505,53;5.455,56
18.06.24;5.487,03;5.476,15;5.490,38;5.471,32
17.06.24;5.473,23;5.431,11;5.488,50;5.420,40
14.06.24;5.431,60;5.424,08;5.432,39;5.403,75
13.06.24;5.433,74;5.441,93;5.441,93;5.402,51
12.06.24;5.421,03;5.409,13;5.447,25;5.409,13
11.06.24;5.375,32;5.353,00;5.375,95;5.327,25
10.06.24;5.360,79;5.341,22;5.365,79;5.331,52
07.06.24;5.346,99;5.343,81;5.375,08;5.331,33
06.06.24;5.352,96;5.357,80;5.362,35;5.335,36
05.06.24;5.354,03;5.314,48;5.354,16;5.297,64
04.06.24;5.291,34;5.278,24;5.298,80;5.257,63
03.06.24;5.283,40;5.297,15;5.302,11;5.234,32
31.05.24;5.277,51;5.243,21;5.280,33;5.191,68
30.05.24;5.235,48;5.259,77;5.260,21;5.222,10
29.05.24;5.266,95;5.278,73;5.282,27;5.262,70
28.05.24;5.306,04;5.315,91;5.315,91;5.280,89
24.05.24;5.304,72;5.281,45;5.311,65;5.278,39
23.05.24;5.267,84;5.340,26;5.341,88;5.256,93
22.05.24;5.307,01;5.319,28;5.323,18;5.286,01
21.05.24;5.321,41;5.298,69;5.324,32;5.297,87
20.05.24;5.308,13;5.305,35;5.325,32;5.302,40
17.05.24;5.303,27;5.303,10;5.305,45;5.283,59
16.05.24;5.297,10;5.310,07;5.325,49;5.296,19
15.05.24;5.308,15;5.263,26;5.311,76;5.263,26
14.05.24;5.246,68;5.221,10;5.250,37;5.217,98
13.05.24;5.221,42;5.233,08;5.237,26;5.211,16
10.05.24;5.222,68;5.225,49;5.239,66;5.209,68
09.05.24;5.214,08;5.189,03;5.215,30;5.180,41
08.05.24;5.187,67;5.168,98;5.191,95;5.165,86
07.05.24;5.187,70;5.187,20;5.200,23;5.178,96
06.05.24;5.180,74;5.142,42;5.181,00;5.142,42
03.05.24;5.127,79;5.122,78;5.139,12;5.101,22
02.05.24;5.064,20;5.049,32;5.073,21;5.011,05
01.05.24;5.018,39;5.029,03;5.096,12;5.013,45
30.04.24;5.035,69;5.103,78;5.110,83;5.035,31
29.04.24;5.116,17;5.114,13;5.123,49;5.088,65
26.04.24;5.099,96;5.084,65;5.114,62;5.073,14
25.04.24;5.048,42;5.019,88;5.057,75;4.990,58
24.04.24;5.071,63;5.084,86;5.089,48;5.047,02
23.04.24;5.070,55;5.028,85;5.076,12;5.027,96
22.04.24;5.010,60;4.987,33;5.038,84;4.969,40
19.04.24;4.967,23;5.005,44;5.019,02;4.953,56
