location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,resff3_6_1,monthly,ew,1,267,132,1953-05-31,-0.00665047767153199
usa,resff3_6_1,monthly,ew,1,460,223,1953-06-30,0.00842335247155777
usa,resff3_6_1,monthly,ew,1,552,262,1953-07-31,0.00463382522297973
usa,resff3_6_1,monthly,ew,1,611,297,1953-08-31,-0.0184193014208175
usa,resff3_6_1,monthly,ew,1,629,310,1953-09-30,0.00551436144932956
usa,resff3_6_1,monthly,ew,1,644,315,1953-10-31,0.0109166701602567
usa,resff3_6_1,monthly,ew,1,646,319,1953-11-30,0.0128760701053694
usa,resff3_6_1,monthly,ew,1,656,314,1953-12-31,0.0237650379217157
usa,resff3_6_1,monthly,ew,1,657,307,1954-01-31,-0.0367234792427287
usa,resff3_6_1,monthly,ew,1,661,303,1954-02-28,0.011767521874605
usa,resff3_6_1,monthly,ew,1,652,318,1954-03-31,0.0172249645166535
usa,resff3_6_1,monthly,ew,1,661,320,1954-04-30,0.0199298099534393
usa,resff3_6_1,monthly,ew,1,674,334,1954-05-31,-0.00761460875491547
usa,resff3_6_1,monthly,ew,1,657,325,1954-06-30,0.00891860548602688
usa,resff3_6_1,monthly,ew,1,671,321,1954-07-31,0.01104548832166
usa,resff3_6_1,monthly,ew,1,670,323,1954-08-31,-0.00638266511247758
usa,resff3_6_1,monthly,ew,1,662,331,1954-09-30,0.00786934211057402
usa,resff3_6_1,monthly,ew,1,666,326,1954-10-31,0.00366009732505052
usa,resff3_6_1,monthly,ew,1,674,337,1954-11-30,0.00367303373026708
usa,resff3_6_1,monthly,ew,1,669,326,1954-12-31,-0.0156349042844685
usa,resff3_6_1,monthly,ew,1,665,331,1955-01-31,0.00702201379156521
usa,resff3_6_1,monthly,ew,1,663,328,1955-02-28,-0.00390996496169002
usa,resff3_6_1,monthly,ew,1,662,325,1955-03-31,0.0166898987315334
usa,resff3_6_1,monthly,ew,1,661,323,1955-04-30,0.0139766244818482
usa,resff3_6_1,monthly,ew,1,652,325,1955-05-31,0.00369430101867137
usa,resff3_6_1,monthly,ew,1,671,315,1955-06-30,0.00743187078100321
usa,resff3_6_1,monthly,ew,1,672,326,1955-07-31,0.00425555579875173
usa,resff3_6_1,monthly,ew,1,659,325,1955-08-31,0.0024153498778351
usa,resff3_6_1,monthly,ew,1,664,316,1955-09-30,0.0156904800602757
usa,resff3_6_1,monthly,ew,1,659,320,1955-10-31,0.00284221370007928
usa,resff3_6_1,monthly,ew,1,672,320,1955-11-30,-0.00763992218497159
usa,resff3_6_1,monthly,ew,1,672,320,1955-12-31,-0.00587568781528409
usa,resff3_6_1,monthly,ew,1,653,326,1956-01-31,-0.00374077408720474
usa,resff3_6_1,monthly,ew,1,653,325,1956-02-29,0.00671941860741275
