location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,ret_6_1,monthly,ew,1,332,143,1926-07-31,0.0216491108391719
usa,ret_6_1,monthly,ew,1,343,142,1926-08-31,0.0183910763297702
usa,ret_6_1,monthly,ew,1,350,144,1926-09-30,0.0386662785330097
usa,ret_6_1,monthly,ew,1,360,150,1926-10-31,-0.00898002916485714
usa,ret_6_1,monthly,ew,1,356,156,1926-11-30,0.036420399726141
usa,ret_6_1,monthly,ew,1,365,158,1926-12-31,-0.0138308588246041
usa,ret_6_1,monthly,ew,1,360,156,1927-01-31,0.00874941372533937
usa,ret_6_1,monthly,ew,1,363,157,1927-02-28,-0.00665637366165049
usa,ret_6_1,monthly,ew,1,358,154,1927-03-31,0.0368966640665266
usa,ret_6_1,monthly,ew,1,367,161,1927-04-30,0.0198850020900772
usa,ret_6_1,monthly,ew,1,367,161,1927-05-31,0.0526104607453778
usa,ret_6_1,monthly,ew,1,369,163,1927-06-30,0.013499729354363
usa,ret_6_1,monthly,ew,1,368,161,1927-07-31,0.0249277420985507
usa,ret_6_1,monthly,ew,1,359,159,1927-08-31,0.00750667842660063
usa,ret_6_1,monthly,ew,1,362,160,1927-09-30,0.0371997065496658
usa,ret_6_1,monthly,ew,1,368,164,1927-10-31,0.0160585224995337
usa,ret_6_1,monthly,ew,1,381,164,1927-11-30,-0.0204480562539845
usa,ret_6_1,monthly,ew,1,383,166,1927-12-31,0.014036165753806
usa,ret_6_1,monthly,ew,1,388,174,1928-01-31,0.0320175862005962
usa,ret_6_1,monthly,ew,1,380,169,1928-02-29,-0.00883241562077456
usa,ret_6_1,monthly,ew,1,391,184,1928-03-31,0.0185755928085145
usa,ret_6_1,monthly,ew,1,397,198,1928-04-30,0.0453309934332394
usa,ret_6_1,monthly,ew,1,389,194,1928-05-31,0.0451756989373302
usa,ret_6_1,monthly,ew,1,387,193,1928-06-30,-0.00410456501664173
usa,ret_6_1,monthly,ew,1,381,183,1928-07-31,0.00592346396973837
usa,ret_6_1,monthly,ew,1,386,189,1928-08-31,0.00684722474063868
usa,ret_6_1,monthly,ew,1,391,182,1928-09-30,0.020181476974486
usa,ret_6_1,monthly,ew,1,401,187,1928-10-31,0.0240816318522015
usa,ret_6_1,monthly,ew,1,404,183,1928-11-30,0.0127908149045051
usa,ret_6_1,monthly,ew,1,408,172,1928-12-31,0.0286823097785179
usa,ret_6_1,monthly,ew,1,397,175,1929-01-31,0.00712359615731274
usa,ret_6_1,monthly,ew,1,392,170,1929-02-28,0.0316154608473821
usa,ret_6_1,monthly,ew,1,397,181,1929-03-31,0.00034740078274248
usa,ret_6_1,monthly,ew,1,406,178,1929-04-30,0.0259876141025626
usa,ret_6_1,monthly,ew,1,416,176,1929-05-31,0.0214482125946591
usa,ret_6_1,monthly,ew,1,432,186,1929-06-30,0.0500181730985051
usa,ret_6_1,monthly,ew,1,422,180,1929-07-31,0.0456933836972039
usa,ret_6_1,monthly,ew,1,428,175,1929-08-31,0.0535545987486415
usa,ret_6_1,monthly,ew,1,434,177,1929-09-30,0.0342332457714612
usa,ret_6_1,monthly,ew,1,430,177,1929-10-31,0.0141799312755856
usa,ret_6_1,monthly,ew,1,440,176,1929-11-30,0.0107354172785985
usa,ret_6_1,monthly,ew,1,442,181,1929-12-31,0.046779583891961
usa,ret_6_1,monthly,ew,1,455,184,1930-01-31,-0.119294509277671
usa,ret_6_1,monthly,ew,1,475,195,1930-02-28,-0.0506551867761172
usa,ret_6_1,monthly,ew,1,483,210,1930-03-31,-0.0539049142439561
usa,ret_6_1,monthly,ew,1,473,214,1930-04-30,-0.0118118002318623
usa,ret_6_1,monthly,ew,1,485,228,1930-05-31,0.0129339060003038
usa,ret_6_1,monthly,ew,1,460,217,1930-06-30,-0.035691091396429
usa,ret_6_1,monthly,ew,1,461,229,1930-07-31,0.00898551355783391
usa,ret_6_1,monthly,ew,1,462,204,1930-08-31,0.037604664301425
usa,ret_6_1,monthly,ew,1,489,209,1930-09-30,0.0523995704095506
usa,ret_6_1,monthly,ew,1,486,193,1930-10-31,0.0187000848883588
usa,ret_6_1,monthly,ew,1,482,198,1930-11-30,0.0113339834297731
usa,ret_6_1,monthly,ew,1,478,203,1930-12-31,0.112074483565587
usa,ret_6_1,monthly,ew,1,487,199,1931-01-31,-0.157385369306684
usa,ret_6_1,monthly,ew,1,487,199,1931-02-28,-0.134727084432386
usa,ret_6_1,monthly,ew,1,481,203,1931-03-31,0.0856511291916841
usa,ret_6_1,monthly,ew,1,480,227,1931-04-30,0.0374281816738486
usa,ret_6_1,monthly,ew,1,482,228,1931-05-31,0.0216704752154441
usa,ret_6_1,monthly,ew,1,475,219,1931-06-30,-0.115409326570625
usa,ret_6_1,monthly,ew,1,475,234,1931-07-31,0.0778886400196776
usa,ret_6_1,monthly,ew,1,473,220,1931-08-31,-0.000653301991185771
usa,ret_6_1,monthly,ew,1,473,217,1931-09-30,0.0886803837320061
usa,ret_6_1,monthly,ew,1,468,201,1931-10-31,4.89490196321774e-05
usa,ret_6_1,monthly,ew,1,473,218,1931-11-30,0.0522923282666487
usa,ret_6_1,monthly,ew,1,473,213,1931-12-31,0.0889924021626273
usa,ret_6_1,monthly,ew,1,468,203,1932-01-31,-0.157959334428631
usa,ret_6_1,monthly,ew,1,479,202,1932-02-29,0.0239499647325768
usa,ret_6_1,monthly,ew,1,469,207,1932-03-31,0.069593312037954
usa,ret_6_1,monthly,ew,1,477,211,1932-04-30,0.015230950109917
usa,ret_6_1,monthly,ew,1,470,214,1932-05-31,0.0419903237049978
usa,ret_6_1,monthly,ew,1,472,209,1932-06-30,-0.0093979662639511
usa,ret_6_1,monthly,ew,1,463,223,1932-07-31,-0.29023122311134
usa,ret_6_1,monthly,ew,1,466,228,1932-08-31,-0.407232856836621
usa,ret_6_1,monthly,ew,1,482,228,1932-09-30,-0.0101163326540337
usa,ret_6_1,monthly,ew,1,470,215,1932-10-31,-0.101320958717738
usa,ret_6_1,monthly,ew,1,470,218,1932-11-30,-0.0310657899460864
usa,ret_6_1,monthly,ew,1,460,225,1932-12-31,-0.00595706048643972
usa,ret_6_1,monthly,ew,1,472,230,1933-01-31,-0.00357675822397054
usa,ret_6_1,monthly,ew,1,474,226,1933-02-28,-0.0219461658988117
usa,ret_6_1,monthly,ew,1,477,194,1933-03-31,-0.0468100692027995
usa,ret_6_1,monthly,ew,1,459,198,1933-04-30,-0.399182657822414
usa,ret_6_1,monthly,ew,1,468,201,1933-05-31,-0.363459223130477
usa,ret_6_1,monthly,ew,1,468,207,1933-06-30,-0.0956822244725637
usa,ret_6_1,monthly,ew,1,453,209,1933-07-31,0.00900389304504079
usa,ret_6_1,monthly,ew,1,471,198,1933-08-31,0.0411224162099955
usa,ret_6_1,monthly,ew,1,459,192,1933-09-30,-0.0800692135910639
usa,ret_6_1,monthly,ew,1,474,203,1933-10-31,-0.0417124456440623
usa,ret_6_1,monthly,ew,1,469,203,1933-11-30,-0.011615829791859
usa,ret_6_1,monthly,ew,1,466,221,1933-12-31,0.00573494371321452
usa,ret_6_1,monthly,ew,1,485,197,1934-01-31,-0.325563059932237
usa,ret_6_1,monthly,ew,1,481,192,1934-02-28,-0.00709614212169118
usa,ret_6_1,monthly,ew,1,469,216,1934-03-31,0.0095902617929604
usa,ret_6_1,monthly,ew,1,460,224,1934-04-30,-0.0447831357906023
usa,ret_6_1,monthly,ew,1,470,224,1934-05-31,-0.0462510817521341
usa,ret_6_1,monthly,ew,1,475,213,1934-06-30,-0.0347822610124503
usa,ret_6_1,monthly,ew,1,470,215,1934-07-31,-0.0200184689789694
usa,ret_6_1,monthly,ew,1,465,209,1934-08-31,-0.0164465226937014
usa,ret_6_1,monthly,ew,1,469,197,1934-09-30,0.00447229165358316
usa,ret_6_1,monthly,ew,1,475,202,1934-10-31,0.0285984142067911
usa,ret_6_1,monthly,ew,1,485,193,1934-11-30,-0.0761080250779651
usa,ret_6_1,monthly,ew,1,481,197,1934-12-31,0.024837788258347
usa,ret_6_1,monthly,ew,1,476,205,1935-01-31,0.00823825691537036
usa,ret_6_1,monthly,ew,1,472,220,1935-02-28,0.0538520673121717
usa,ret_6_1,monthly,ew,1,464,212,1935-03-31,0.0113023227918314
usa,ret_6_1,monthly,ew,1,471,203,1935-04-30,-0.0416033355031487
usa,ret_6_1,monthly,ew,1,475,203,1935-05-31,-0.00561025250942662
usa,ret_6_1,monthly,ew,1,473,195,1935-06-30,0.0341854392077845
usa,ret_6_1,monthly,ew,1,469,197,1935-07-31,-0.068847209111998
usa,ret_6_1,monthly,ew,1,481,192,1935-08-31,-0.0799735827629199
usa,ret_6_1,monthly,ew,1,468,203,1935-09-30,0.0507958522257645
usa,ret_6_1,monthly,ew,1,459,220,1935-10-31,0.0137483751229498
usa,ret_6_1,monthly,ew,1,464,216,1935-11-30,-0.0355053448048686
usa,ret_6_1,monthly,ew,1,459,217,1935-12-31,0.0390859163096946
usa,ret_6_1,monthly,ew,1,461,198,1936-01-31,0.127782350104876
usa,ret_6_1,monthly,ew,1,462,206,1936-02-29,0.0214109417466588
usa,ret_6_1,monthly,ew,1,464,200,1936-03-31,0.0185987357784091
usa,ret_6_1,monthly,ew,1,463,200,1936-04-30,-0.0794775173553992
usa,ret_6_1,monthly,ew,1,467,208,1936-05-31,0.0236532094027807
usa,ret_6_1,monthly,ew,1,482,230,1936-06-30,0.00592279527111111
usa,ret_6_1,monthly,ew,1,488,242,1936-07-31,-0.00598826037218303
usa,ret_6_1,monthly,ew,1,495,205,1936-08-31,0.0131029473401766
usa,ret_6_1,monthly,ew,1,499,205,1936-09-30,-0.0192898914718251
usa,ret_6_1,monthly,ew,1,493,205,1936-10-31,-0.00717145360945799
usa,ret_6_1,monthly,ew,1,483,227,1936-11-30,-0.0115079586889644
usa,ret_6_1,monthly,ew,1,478,225,1936-12-31,0.0121068519146245
usa,ret_6_1,monthly,ew,1,487,235,1937-01-31,0.0108488639032928
usa,ret_6_1,monthly,ew,1,478,217,1937-02-28,0.0461399182489362
usa,ret_6_1,monthly,ew,1,478,212,1937-03-31,0.0373847422928997
usa,ret_6_1,monthly,ew,1,491,230,1937-04-30,-0.0492180962306214
usa,ret_6_1,monthly,ew,1,492,227,1937-05-31,0.00217673712358574
usa,ret_6_1,monthly,ew,1,494,236,1937-06-30,-0.00188031075485152
usa,ret_6_1,monthly,ew,1,510,235,1937-07-31,-0.0318153612381199
usa,ret_6_1,monthly,ew,1,509,213,1937-08-31,0.0350025149352113
usa,ret_6_1,monthly,ew,1,516,208,1937-09-30,0.0520597224325612
usa,ret_6_1,monthly,ew,1,531,210,1937-10-31,0.00500849690626613
usa,ret_6_1,monthly,ew,1,527,205,1937-11-30,0.0375630213019588
usa,ret_6_1,monthly,ew,1,513,205,1937-12-31,0.0874435999418895
usa,ret_6_1,monthly,ew,1,515,217,1938-01-31,-0.0350543888937572
usa,ret_6_1,monthly,ew,1,520,212,1938-02-28,-0.0280856371489525
usa,ret_6_1,monthly,ew,1,502,214,1938-03-31,0.150611538714343
usa,ret_6_1,monthly,ew,1,514,214,1938-04-30,-0.0512967431699782
usa,ret_6_1,monthly,ew,1,530,212,1938-05-31,0.0629378209970126
usa,ret_6_1,monthly,ew,1,524,219,1938-06-30,-0.165225666146629
usa,ret_6_1,monthly,ew,1,516,232,1938-07-31,-0.0242855732830075
usa,ret_6_1,monthly,ew,1,523,223,1938-08-31,0.0480242166014469
usa,ret_6_1,monthly,ew,1,519,248,1938-09-30,0.00808017160178104
usa,ret_6_1,monthly,ew,1,519,250,1938-10-31,0.0274668801769948
usa,ret_6_1,monthly,ew,1,522,233,1938-11-30,0.00982069852134043
usa,ret_6_1,monthly,ew,1,509,238,1938-12-31,0.0460556581524187
usa,ret_6_1,monthly,ew,1,533,233,1939-01-31,-0.0359963777077926
usa,ret_6_1,monthly,ew,1,531,219,1939-02-28,0.0260325557838207
usa,ret_6_1,monthly,ew,1,522,223,1939-03-31,-0.00175427489055296
usa,ret_6_1,monthly,ew,1,530,226,1939-04-30,0.022517642851211
usa,ret_6_1,monthly,ew,1,527,214,1939-05-31,-0.00587641563419875
usa,ret_6_1,monthly,ew,1,515,221,1939-06-30,0.102886986637526
usa,ret_6_1,monthly,ew,1,516,227,1939-07-31,-0.083576594777748
usa,ret_6_1,monthly,ew,1,514,219,1939-08-31,0.0621094427323721
usa,ret_6_1,monthly,ew,1,521,220,1939-09-30,-0.509207436895027
usa,ret_6_1,monthly,ew,1,525,228,1939-10-31,0.0565809120151737
usa,ret_6_1,monthly,ew,1,520,243,1939-11-30,-0.0970342080882337
usa,ret_6_1,monthly,ew,1,523,243,1939-12-31,0.0160987452204571
usa,ret_6_1,monthly,ew,1,526,254,1940-01-31,-0.0457692278953219
usa,ret_6_1,monthly,ew,1,532,249,1940-02-29,0.0247241026201697
usa,ret_6_1,monthly,ew,1,533,259,1940-03-31,-0.00430795893386667
usa,ret_6_1,monthly,ew,1,527,222,1940-04-30,-0.0218885163048073
usa,ret_6_1,monthly,ew,1,536,226,1940-05-31,0.0460899108201342
usa,ret_6_1,monthly,ew,1,537,251,1940-06-30,-0.0261987663371089
usa,ret_6_1,monthly,ew,1,526,236,1940-07-31,0.0098379702625599
usa,ret_6_1,monthly,ew,1,532,230,1940-08-31,-0.0100857355033717
usa,ret_6_1,monthly,ew,1,535,229,1940-09-30,-0.0167248695540671
usa,ret_6_1,monthly,ew,1,538,229,1940-10-31,-0.0144163094951951
usa,ret_6_1,monthly,ew,1,545,231,1940-11-30,-0.0217572601875107
usa,ret_6_1,monthly,ew,1,532,243,1940-12-31,0.0333419055966509
usa,ret_6_1,monthly,ew,1,537,248,1941-01-31,-0.0695321546321869
usa,ret_6_1,monthly,ew,1,545,250,1941-02-28,0.0105740024997356
