0#.SPCY,0#.SP400,0#.SPX
VCEL.OQ,UTHR.OQ,POOL.OQ
STEP.OQ,WAL.N,CHRW.OQ
WKC.N,NBIX.OQ,AJG.N
PI.OQ,GEF.N,CNP.N
LUMN.N,LFUS.OQ,AMCR.N
PLAB.OQ,CYTK.OQ,WM.N
AX.N,MTZ.N,BA.N
VSTS.N,VVV.N,FOX.OQ
TTMI.OQ,ALTM.N,WY.N
AROC.N,CNXC.OQ,MCD.N
CENT.OQ,ESNT.N,HD.N
INDB.OQ,POWI.OQ,SPG.N
BANF.OQ,HRB.N,HBAN.OQ
VIAV.OQ,LAMR.OQ,QRVO.OQ
MAC.N,ATR.N,LVS.N
AMR.N,OHI.N,CTRA.N
PRDO.OQ,ORA.N,ON.OQ
EGBN.OQ,CHRD.OQ,AIG.N
CXM.N,JAZZ.OQ,AIZ.N
PRA.N,VNO.N,CARR.N
OII.N,ROIV.OQ,EVRG.OQ
PLMR.OQ,BERY.N,SMCI.OQ
HIW.N,PCH.OQ,COST.OQ
DOCN.N,MTN.N,MCO.N
PRAA.OQ,FFIN.OQ,DIS.N
SHAK.N,RYAN.N,LULU.OQ
CARS.N,BYD.N,PAYX.OQ
ANDE.OQ,FND.N,AMD.OQ
SVC.OQ,KBH.N,REG.OQ
BOH.N,MUR.N,DHI.N
SUPN.OQ,PVH.N,TRV.N
ATEN.N,AGCO.N,MOS.N
AVAV.OQ,CLH.N,BWA.N
WABC.OQ,RYN.N,WDC.OQ
RAMP.N,WU.N,VTR.N
BKE.N,ALLY.N,IVZ.N
OGN.N,FHN.N,ZBRA.OQ
CENX.OQ,FNB.N,AMAT.OQ
INN.N,RBC.N,STX.OQ
NXRT.N,BRX.N,FDS.N
GFF.N,CLF.N,KVUE.N
TALO.N,SHC.OQ,SYK.N
EZPW.OQ,LEA.N,DELL.N
AMPH.OQ,CHE.N,VRSN.OQ
ATGE.N,CADE.N,TECH.OQ
PINC.OQ,MANH.OQ,NVR.N
BRKL.OQ,NYT.N,JBL.N
SNEX.OQ,GATX.N,LOW.N
ROG.N,FAF.N,BSX.N
TGNA.N,WHR.N,SYY.N
URBN.OQ,MKSI.OQ,FCX.N
PPBI.OQ,LPX.N,MAS.N
TRUP.OQ,PRI.N,BEN.N
WOR.N,TNL.N,META.OQ
EMBC.OQ,SNV.N,PAYC.N
GNW.N,FNF.N,EXPE.OQ
TRN.N,FN.N,AMTM.N
OFG.N,NSA.N,RJF.N
CABO.N,MEDP.OQ,CL.N
MGEE.OQ,WPC.N,VICI.N
ZD.OQ,TREX.N,CE.N
RDNT.OQ,IPGP.OQ,UNH.N
HI.N,FLR.N,ARE.N
FUL.N,HOG.N,GEN.OQ
JBGS.N,CASY.OQ,LLY.N
CSR.N,DLB.N,DAY.N
SATS.OQ,JLL.N,GRMN.N
CASH.OQ,PPC.OQ,PODD.OQ
AEIS.OQ,XRAY.OQ,ISRG.OQ
VTOL.N,KNSL.N,AVB.N
PSMT.OQ,NJR.N,TPR.N
CVCO.OQ,DT.N,CBRE.N
PBH.N,CHDN.OQ,CINF.OQ
PFS.N,DOCU.OQ,WMB.N
CLB.N,OLN.N,EA.OQ
SNCY.OQ,UFPI.OQ,TMUS.OQ
INSP.N,FCFS.OQ,CB.N
CEIX.N,ZI.OQ,TXN.OQ
CALM.OQ,STAG.N,MDLZ.OQ
MRCY.OQ,CR.N,BRO.N
OI.N,AR.N,BALL.N
LTC.N,BCO.N,PFG.OQ
ARCB.OQ,AYI.N,KEYS.N
WWW.N,EPR.N,PCG.N
IPAR.OQ,ITT.N,RL.N
ALRM.OQ,PR.N,JPM.N
BJRI.OQ,CNX.N,TTWO.OQ
UNFI.N,KD.N,CDW.OQ
KFY.N,SIGI.OQ,RMD.N
ENVA.N,AIT.N,LNT.OQ
ATI.N,RPM.N,COO.OQ
TRIP.OQ,SYNA.OQ,CMG.N
CPF.N,AAON.OQ,PCAR.OQ
SCVL.OQ,EGP.N,GNRC.N
PRGS.OQ,AN.N,CHTR.OQ
HMN.N,MTDR.N,PWR.N
LXP.N,OGE.N,CCL.N
GPI.N,DTM.N,PM.N
AIN.N,WFRD.OQ,SNA.N
AAT.N,UA.N,UAL.OQ
VVI.N,TXRH.OQ,ESS.N
CRK.N,NSP.N,KHC.OQ
PEB.N,ASH.N,BLDR.N
ANIP.OQ,EXEL.OQ,JBHT.OQ
GES.N,BLKB.OQ,CMI.N
UFCS.OQ,SLM.OQ,PNR.N
CPK.N,EME.N,CRL.N
IAC.OQ,THO.N,DPZ.N
CENTA.OQ,NVT.N,DECK.N
MTRN.N,OGS.N,HPQ.N
ESE.N,ZION.OQ,ROP.OQ
UE.N,HALO.OQ,LW.N
SCSC.OQ,EEFT.OQ,TGT.N
PENG.OQ,RBA.N,NTAP.OQ
BDN.N,BDC.N,OXY.N
AGO.N,WBS.N,IR.N
SEE.N,CUBE.N,TER.OQ
UHT.N,CW.N,WAB.N
CRSR.OQ,REXR.N,NOW.N
KAR.N,EHC.N,EXC.OQ
TNC.N,MIDD.OQ,BR.N
SNDR.N,BRBR.N,EMN.N
CWK.N,BHF.OQ,AZO.N
BXMT.N,ACM.N,TEL.N
ELME.N,YETI.N,FRT.N
B.N,CUZ.N,DUK.N
JBLU.OQ,PRGO.N,KMI.N
ODP.OQ,RMBS.OQ,DVN.N
CUBI.N,PFGC.N,RCL.N
BKU.N,VNT.N,VTRS.OQ
CWENa.N,TKO.N,CAH.N
ASTH.OQ,ENS.N,MKC.N
TBBK.OQ,AAL.OQ,IEX.N
DIOD.OQ,ONTO.N,VLO.N
DFIN.N,TDC.N,EXPD.N
INVA.OQ,FCN.N,LH.N
PMT.N,VSH.N,SW.N
HNI.N,GNTX.OQ,DRI.N
SKT.N,CIVI.N,MAA.N
YOU.N,CBSH.OQ,JNJ.N
HCSG.OQ,TTEK.OQ,COR.N
RHI.N,AM.N,SHW.N
NMIH.OQ,COKE.OQ,GD.N
ASTE.OQ,WWD.OQ,SBAC.OQ
STAA.OQ,CACI.N,MPWR.OQ
MCRI.OQ,NFG.N,COP.N
CMA.N,SLAB.OQ,ORCL.N
GDOT.N,INGR.N,AMP.N
DCOM.OQ,DKS.N,NXPI.OQ
NX.N,KEX.N,CPRT.OQ
ECPG.OQ,SAIC.OQ,TXT.N
SCL.N,GXO.N,T.N
CFFN.OQ,NOVT.OQ,MTCH.OQ
UPBD.OQ,SNX.N,NDAQ.OQ
WSR.N,WEX.N,FFIV.OQ
SHOO.OQ,AVTR.N,LEN.N
BL.OQ,USFD.N,CDNS.OQ
THS.N,ONB.OQ,NVDA.OQ
WRLD.OQ,FBIN.N,WELL.N
TTGT.OQ,CHX.OQ,PLD.N
IRWD.OQ,LECO.OQ,ROST.OQ
CAL.N,NNN.N,MRK.N
ROCK.OQ,HLNE.OQ,WEC.N
XHR.N,LSTR.OQ,MSCI.N
UNF.N,IBOC.OQ,TMO.N
PDFS.OQ,MTSI.OQ,F.N
ABR.N,HOMB.N,GEHC.OQ
UTL.N,RNR.N,LYB.N
FBNC.OQ,FIX.N,IBM.N
OMCL.OQ,AMKR.OQ,IQV.N
AMWD.OQ,CG.OQ,VRTX.OQ
PLXS.OQ,LII.N,DXCM.OQ
PAYO.OQ,VAL.N,PEP.OQ
AVNS.N,UNM.N,AOS.N
FOXF.OQ,ARW.N,BLK.N
REZI.N,LITE.OQ,HII.N
APLE.N,OVV.N,CVS.N
AAP.N,WING.OQ,PH.N
BGS.N,AVNT.N,NSC.N
MCW.N,EXLS.OQ,MSFT.OQ
CTS.N,ACHC.OQ,HWM.N
GO.OQ,CPRI.N,BAX.N
ASO.OQ,FLO.N,HUM.N
NPO.N,COHR.N,AXON.OQ
STEL.N^F23,HR.N,ZBH.N
STBA.OQ,ST.N,TDY.N
VIR.OQ,DBX.OQ,GILD.OQ
SSTK.N,MSA.N,EPAM.N
NYMT.OQ,EXE.OQ,NOC.N
ETD.N,CNH.N,PNW.N
CWT.N,ESAB.N,BFb.N
PGNY.OQ,AZPN.OQ,DE.N
TDS.N,IDA.N,HSY.N
ADMA.OQ,AFG.N,GL.N
DAN.N,AXTA.N,SLB.N
PLUS.OQ,ALV.N,AWK.N
UCB.N,NEU.N,PKG.N
ARI.N,SSB.N,CPAY.N
ADUS.OQ,GHC.N,ADI.OQ
CPRX.OQ,AMED.OQ,MMC.N
CATY.OQ,RGLD.OQ,IT.N
WLY.N,NVST.N,ECL.N
FCF.N,HXL.N,BXP.N
TR.N,SEIC.OQ,GE.N
MXL.OQ,CROX.OQ,ED.N
IART.OQ,CC.N,ALLE.N
PATK.OQ,TOL.N,OTIS.N
CEVA.OQ,ENOV.N,WFC.N
IBP.N,CSL.N,CTVA.N
JOE.N,OPCH.OQ,FTV.N
AXL.N,GGG.N,AEE.N
CNS.N,FLEX.OQ,PRU.N
LMAT.OQ,XPO.N,DLTR.OQ
