ticker,MA,TN,GA,TP,BH
AMDL,0,0,1,0,0
BITU,0,0,0,1,0
BITX,0,0,0,1,0
BTCL,0,0,0,1,0
BTCZ,0,0,1,0,0
BTFX,0,0,0,1,0
CNXT,0,0,1,0,0
CONL,0,0,0,1,0
CRSH,0,0,0,1,0
DFEN,0,0,0,0,1
DFND,0,0,0,1,0
DGZ,0,0,0,1,0
DPST,0,0,0,1,0
DRN,0,0,0,0,1
DUSL,0,0,0,0,1
DUST,1,0,0,0,0
DZZ,0,0,1,0,0
EEM,1,0,0,0,0
ETH,0,0,0,1,0
ETHD,0,0,1,0,0
ETHT,0,0,0,1,0
ETHU,0,0,0,1,0
ETQ,0,0,1,0,0
ETU,0,0,0,1,0
EVAV,0,0,1,0,0
FAS,0,0,0,1,1
FNGO,0,0,0,0,1
FNGU,0,0,0,0,1
FXI,1,0,0,0,0
GBTC,0,0,0,0,1
GDX,1,0,0,0,0
GDXD,0,0,1,0,0
GDXU,0,0,0,1,0
HYG,1,0,0,0,0
IBIT,1,0,0,0,0
IWM,1,0,0,0,0
JEPI,0,1,0,0,0
JNUG,0,0,0,1,1
KARS,0,0,1,0,0
KOLD,0,0,0,0,1
MAXI,0,0,0,1,0
MIDU,0,0,0,0,1
NAIL,0,0,0,1,1
NUGT,0,0,0,0,1
NVD,1,0,0,0,0
NVDL,1,0,0,0,0
NVDQ,1,0,0,0,0
PTIR,0,0,1,0,0
QLD,0,0,0,0,1
QQQ,1,0,0,0,0
RAYS,0,0,1,0,0
ROM,0,0,0,0,1
SBIT,0,0,1,0,0
SH,1,0,0,0,0
SKRE,0,0,1,0,0
SMCX,0,0,1,0,0
SOXL,1,0,0,0,1
SOXS,1,0,0,0,0
SPXL,0,0,0,0,1
SPXS,1,0,0,0,0
SPY,1,0,0,0,0
SQQQ,1,0,0,0,0
SVIX,0,0,0,1,0
TAN,0,0,1,0,0
TECL,0,0,0,0,1
TECS,1,0,0,0,0
TLT,1,0,0,0,0
TQQQ,1,0,0,0,1
TSDD,0,0,0,1,0
TSL,0,0,1,0,0
TSLL,1,0,1,0,0
TSLQ,0,0,0,1,0
TSLR,0,0,1,0,0
TSLS,0,0,0,1,0
TSLT,0,0,1,0,0
TSLZ,0,0,0,1,0
TSMX,0,0,1,0,0
TZA,1,0,0,0,0
UBOT,0,0,0,0,1
UDOW,0,0,0,0,1
UMDD,0,0,0,0,1
UPRO,0,0,0,0,1
USD,0,0,0,0,1
UTSL,0,0,0,1,1
UVIX,1,0,1,0,0
UVXY,0,0,1,0,0
VIXY,0,0,1,0,0
VXX,0,0,1,0,0
WANT,0,0,0,0,1
XLF,1,0,0,0,0
YANG,1,0,0,0,0
YBTC,0,0,0,1,0
ZCSH,0,0,1,0,0
