ticker,MA,TN,GA,TL
AAL,1,0,0,0
AAPL,1,0,0,0
AGNC,1,0,0,0
ALGN,0,1,0,0
ALTM,1,0,0,0
ALVO,0,0,1,0
AMAT,0,1,0,0
AMZN,1,0,0,0
ARM,0,1,0,1
ASTH,0,0,0,1
ASTS,0,1,0,1
BA,0,1,0,0
BAC,1,0,0,0
BBD,1,0,0,0
BE,0,0,0,1
BPOP,0,0,0,1
CLS,0,1,0,0
CLSK,1,0,0,0
COIN,0,0,0,1
DJT,1,0,1,0
DJTWW,0,0,1,0
EDU,0,0,0,1
ENPH,0,0,0,1
ESI,0,0,1,0
EVR,0,0,0,1
EWBC,0,0,1,0
F,1,0,0,0
GRAB,1,0,0,0
HIMS,0,0,0,1
HMY,0,0,0,1
HRI,0,0,1,0
IBM,0,1,0,0
INSW,0,0,0,1
INTC,1,0,0,0
IONQ,1,0,0,0
JBT,0,0,1,0
KO,1,0,0,0
LAD,0,0,1,0
LCID,1,0,0,0
LI,0,0,1,0
LRCX,0,1,0,0
LRHC,0,1,0,0
LRN,0,0,1,0
LVS,0,1,0,0
MALRY,0,0,0,1
MANH,0,0,0,1
MARA,1,0,0,0
MAT,0,1,0,0
NBIS,0,0,0,1
NEM,0,1,0,0
NEP,0,1,0,0
NIO,1,0,0,0
NOW,0,1,0,0
NTLA,0,0,0,1
NTRS,0,0,1,0
NUVL,0,0,0,1
NVDA,1,0,0,0
ODFL,0,0,0,1
OKLO,1,0,0,1
PANW,0,1,0,0
PKG,0,0,1,0
PLTR,1,0,0,0
PTCT,0,0,1,0
PTON,1,1,1,0
QS,0,1,0,0
RBGLY,0,0,1,0
RNST,0,0,1,0
SAVE,0,1,0,0
SNAP,1,0,0,0
SOFI,1,0,0,0
SSL,0,0,0,1
STX,0,0,0,1
SW,0,0,1,0
T,1,1,1,0
TAL,0,0,0,1
TDY,0,0,1,0
TMUS,0,1,0,0
TNL,0,0,1,0
TRMD,0,0,0,1
TSLA,1,1,0,0
TWST,0,0,0,1
TXN,0,0,1,0
UBER,0,1,0,0
VEON,0,0,1,0
VICR,0,0,1,0
VKTX,0,1,0,0
VMI,0,0,1,0
VRAX,0,1,0,0
WHR,0,1,0,0
WPP,0,0,1,0
ZIM,0,0,0,1
